FirstName,Email
Alice,alice.smith@example.com
Bob,bob.jones@example.com
Carol,carol.brown@example.com
David,david.johnson@example.com
Emma,emma.davis@example.com
Frank,frank.miller@example.com
Grace,grace.wilson@example.com
Henry,henry.moore@example.com
Isabella,isabella.taylor@example.com
Jack,jack.anderson@example.com
Karen,karen.thomas@example.com
Liam,liam.jackson@example.com
Mia,mia.white@example.com
Noah,noah.harris@example.com
Olivia,olivia.martin@example.com
Paul,paul.lee@example.com
Quinn,quinn.walker@example.com
Ryan,ryan.hall@example.com
Sarah,sarah.young@example.com
Tom,tom.king@example.com
